Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Masjkur, Mohammad; Sumertajaya, I; ",Penerapan AMMI respon ganda dengan pembobotan komponen utama pada uji stabilitas tanaman kumis kucing,,,,,2014,Bogor Agricultural University (IPB)
"Aidi, Muhammad Nur; Masjkur, Mohammad; Siswadi, Sidikrubadi Pramudito; ",Phase Transformation of Ba0. 55Sr0. 45TiO3 Tetragonal to Pseudotetragonal Structures and Arima Model for XRD Data,,,,,2013,
"Masjkur, Mohammad; ",Analisis struktur spasial kalium tanah sawah,,,,,2004,IPB (Bogor Agricultural University)
"Masjkur, Mohammad; Folmer, Henk; ",Bayesian Estimation of Mixed Effects Models of Fertilizer Response with Independent Skew-Normally Distributed Random Parameter,The 2nd International Conference On Applied Statistics (ICAS 2016),,,92-102,2017,
"Masjkur, Mohammad; ",ALGORITMA GENETIK PENDUGAAN PARAMETER MODEL NONLINEAR JERAPAN FOSFOR (Genetic Algorithm for Parameter Estimation of Phosphorus Adsorption Nonlinear Model),Forum Statistika dan Komputasi,15,2,,2012,
"Masjkur, Mohammad; ",Model Comparison for Multienvironment Trials,,,,,,
"Masjkur, Mohammad; Septiastuti, Niken Dyah; ","Upaya untuk memacu produktivitas padi salah satunya dengan cara pemupukan. Untuk mendapatkan pengaruh pupuk yang berinteraksi positif dengan lokasi tertentu dilakukan uji lokasi ganda. Salah satu metode yang dapat digunakan untuk menganalisis interaksi pemupukan dengan lokasi adalah analisis AMMI. Tujuan penelitian ini adalah mengetahui penggunaan model AMMI dalam analisis interaksi pemupukan N, P, K dan lokasi. Hasil penelitian menunjukkan bahwa pupuk N berinteraksi positif pada Cilamaya-Karawang dan Bumiayu-Brebes, pupuk NP berinteraksi positif pada Sungapan-Pemalang, Perak-Jombang, dan Mayang-Jember, sedangkan pupuk NPK berinteraksi positif pada Rengasdengklok-Karawang, Dempet-Demak, Balen-Bojonegoro, Pungging-Mojokerto, dan Tanggul-Jember. Selain itu, meskipun respon berat kering padi tertinggi pada pemupukan NPK, namun tidak semua lokasi membutuhkan pupuk lengkap NPK.",Forum Statistika dan Komputasi,14,1,,2009,
"Masjkur, Mohammad; ",RANDOM PARAMETER MODELS OF FERTILIZER RESPONSE FOR CORN USING SKEWED DISTRIBUTIONS,FORUM STATISTIKA DAN KOMPUTASI,20,2,,2015,
"Masjkur, Mohammad; ",PEMILIHAN PERAGAM SPASIAL MENGGUNAKAN MODEL LINEAR CAMPURAN,Prosiding Seminar Nasional Statistika Universitas Diponegoro 2011,,,141-150,2011,Program Studi Statistika FMIPA Undip
"Masjkur, Mohammad; ",Perbandingan Fungsi Respons Stokastik Hasil Kedelai Terhadap Pemupukan Kalium,STATISTIKA: Journal of Theoretical Statistics and Its Applications,15,1,25-30,2015,
"Masjkur, Mohammad; ",Correlation between Soil Test Phosphorus of Kaolinitic and Smectitic Soils with Phosphorus Uptake of Lowland Rice,Jurnal TANAH TROPIKA (Journal of Tropical Soils),14,3,,2009,
"Masjkur, M; Folmer, H; ",Bayesian estimation of linear and nonlinear mixed models of fertilizer dosing with independent normally distributed random components,IOP Conference Series: Earth and Environmental Science,58,1,012006,2017,IOP Publishing
"Utomo, Budi; Kusmana, Cecep; Tjitrosemito, Sukisman; Aidi, Muhammad Nur; ",KAJIAN KOMPETISI TUMBUHAN EKSOTIK YANG BERSIFAT INVASIF TERHADAP POHON HUTAN PEGUNUNGAN ASLI TAMAN NASIONAL GUNUNG GEDE PANGRAN,Jurnal Manajemen Hutan Tropika,13,1,1-13,2007,
"Andayani, Nurita; Sumertajaya, I Made; Ruchjana, Budi Nurani; Aidi, Muhammad Nur; ",Development of Space Time Model with Exogenous Variable by Using Transfer Function Model Approach on the Rice Price Data,Applied Mathematical Sciences,11,36,1779-1792,2017,
"Jaya, I Gede Nyoman Mindra; Sumertajaya, I Made; Matjjik, AA; ",Partial Least Square–Mixed AMMI dalam Analisis Interaksi Genotipe x Lingkungan,Prosiding Seminar Nasional Sains dan Teknologi–II,,,9-25,2008,
"Novianti, Pepi; Mattjik, Ahmad Ansori; Sumertajaya, I; ",Pendugaan Daerah Kepercay Aan Dan Kest Abilan Genotipe Pada Model Ammi Menggunakan Metode Resampling Bootstrap,,,,,2010,Unversitas Katholik Parahiyangan
"Sumertajaya, I; ",Kajian Pengaruh Inter Blok dan Interaksi Pada Uji Lokasi Ganda dan Respon Ganda (Recovery of Inter Block and Interaction Effects on Multi Locations and Multi Response),,,,,2005,IPB (Bogor Agricultural University)
"Arinana, Arinana; Aldina, Rifat; Nandika, Dodi; Rauf, Aunu; Harahap, Idham S; Sumertajaya, I; Bahtiar, Effendi Tri; ","Termite diversity in urban landscape, South Jakarta, Indonesia",Insects,7,2,20,2016,Multidisciplinary Digital Publishing Institute
"Hadi, Alfian Futuhul; Mattjik, AA; Sumertajaya, IM; ",Generalized AMMI models for assessing the endurance of soybean to leaf pest,Jurnal Ilmu Dasar,11,2,151-159,2010,
"Aidi, Muhammad Nur; ",Penggunaan Rantai Markov untuk Analisis Spasial serta Modifikasinya dari Sistem Tertutup ke Sistem Terbuka,Forum Statistika dan Komputasi,13,1,,2008,
"Sumertajaya, I; Nugroho, Yogo Adhi; ",Analisis Lintas Faktor-faktor yang Mempengaruhi Produksi Bibit Klonal Kelapa Sawit (Elaeis guineensis Jacq.),,,,,2012,
"Al Aminy, Fira Nurahmah; Angraini, Yenni; ",ANALISIS KETEPATAN WAKTU LULUS BERDASARKAN KARAKTERISTIK MAHASISWA FEM DAN FAPERTA MENGGUNAKAN METODE CHART,Xplore: Journal of Statistics,1,2,,2013,
"Sumertajaya, I Made; Matjjik, Ahmad Ansori; Jaya, I Gede Nyoman Mindra; ",ANALISIS INTERAKSI GENOTIP x LINGKUNGAN MENGGUNAKAN STRUCTURAL EQUATION MODELING,PYTHAGORAS: Jurnal Pendidikan Matematika,4,1,,2008,
"Aidi, Muhammad Nur; ",PERBAIKAN METODE KRIGING BIASA (ORDINARY KRIGING) MELALUI PEMECAHAN MATRIKS C MENJADI BEBERAPA ANAK MATRIKS NON OVERLAP UNTUK MEWAKILI DRIFT PADA PEUBAH SPASIAL,Forum Statistika dan Komputasi,12,1,,2012,
"Nurussadad, Abdul Aziz; Sumertajaya, I Made; Mattjik, Ahmad Ansori; ",PENGARUH PEMILIHAN ARAH ACUAN 00 DAN ARAH ROTASI PADA ANALISIS KORELASI DAN REGRESI LINIER-SIRKULAR (STUDI KASUS: PETA KAWASAN RAWAN BENCANA LETUSAN GUNUNG,Forum Statistika dan Komputasi,16,1,,2011,
"Ariski, Niki; Sumertajaya, I Made; Aidi, Muhammad Nur; ",GSTARIMA Modeling of Area Extent of Rice Stem Borer Attack Using Spatial Weights Clustering,,,,,,
"Aidi, Muhammad Nur; ",Pendugaan Parameter,,,,,2013,IPB (Bogor Agricultural University)
"Hadi, Alfian Futuhul; Sa'diyah, Halimatus; Sumertajaya, I Made; ",Data Non-normality on AMMI Models: Box-Cox Transformations,Jurnal ILMU DASAR,8,2,165-174,2007,
"Mattjik, Ahmad Ansori; Sumertajaya, I; ",Pengembangan model aditif-multiplikatif Untuk seleksi daya adaptasi tanaman,,,,,2010,Bogor Agricultural University
"Huda, Usep Firdaus; Sukmawati, Anggraini; Sumertajaya, I Made; ",Model Perilaku Keselamatan Kerja Karyawan pada Industri Berisiko Tinggi,The Asian Journal of Technology Management,15,1,51,2016,"Institut Teknologi Bandung, School of Business and Management"
"Aidi, Muhammad Nur; ","Deteksi pola sebaran titik spasial secara reguler melalui penelusuran fungsi massa peluang, metode kuadran dan tetangga terdekat",,,,,2013,IPB (Bogor Agricultural University)
"Sumertajaya, IM; ",Perbandingan model AMMI dan regresi linier untuk menerangkan pengaruh interaksi percobaan lokasi ganda,,,,,1998,"Tesis. Program Pascasarjana Institut Pertanian Bogor, Bogor"
"Sumertajaya, I; Novianti, Pepi; Mattjik, Ahmad Ansori; ",Pendugaan Daerah Kepercay Aan Dan Kest Abilan Genotipe Pada Model Ammi Menggunakan Metode Resampling Bootstrap,,,,,2010,UNIVERSITAS KATOLIK PARAHYANGAN
"Novianti, Pepi; Mattjik, Ahmad Ansori; Sumertajaya, I Made; ",Pendugaan kestabilan genotipe pada model AMMI menggunakan metode resampling bootstrap,Forum Statistika dan Komputasi,15,1,28-35,2010,
"Rahmawati, Rita; Sumertajaya, I; ",EVALUASI METODE PENELUSURAN KERAGAMAN DALAM BLOK DENGAN ANALISIS INTERBLOK,"Prosiding SEMINAR NASIONAL SPMIPA 2006, ISBN: 979.704. 427.0 Undip Semarang",1,1,147-152,2006,Badan Penerbit Undip Semarang
"Aidi, Muhammad Nur; ",Sebaran dua titik atau lebih,,,,,2013,IPB (Bogor Agricultural University)
"Siregar, Dania; Aidi, M Nur; Sumertajaya, I Made; ",PRICE OF SUGAR MODELING AND FORECASTING BASED ON STIMA MODEL AND GSTIMA MODEL,"Proceeding of International Conference On Research, Implementation And Education Of Mathematics And Sciences 2015 (ICRIEMS 2015), Yogyakarta State University, 17-19 May 2015",,,,2015,Faculty of Mathematics and Sciences Yogyakarta State University
"Wijayanto, Hari; Angraini, Yenni; Riskinandini, Riana; ",ANALISIS KONJOIN: METODE FULL PROFILE DAN CBC UNTUK MENELAAH PERSEPSI MAHASISWA TERHADAP PILIHAN PEKERJAAN,Forum Statistika dan Komputasi,12,1,,2012,
"Aidi, Muhammad Nur; ",Pengertian dan statistik ukur,,,,,2013,IPB (Bogor Agricultural University)
"Wibowo, Abadi; Sumertajaya, I Made; Astuti, Erni Tri; ","ACCURACY COMPARISON OF SIMPLE, SYSTEMATIC, AND STRATIFIED RANDOM SAMPLING FOR ESTIMATING POPULATION (MINIMARKET CASE IN INDONESIA)","Proceeding of International Conference On Research, Implementation And Education Of Mathematics And Sciences 2015 (ICRIEMS 2015), Yogyakarta State University, 17-19 May 2015",,,,2015,Faculty of Mathematics and Sciences Yogyakarta State University
"Aidi, Muhammad Nur; ","Realisasi titik-titik secara spasial diwujudkan dengan pola titik-titik tersebut dalam ruang. Pola titik dalam ruang pada prinsipnya ada tiga macam, yakni pola titik spasial secara acak, pola titik spasial secara regular serta pola titik spasial secara kelompok. Tujuan penelitian ini adalah menentukan fungsi massa peluang yang menggambarkan sebaran titik spasial kelompok, melakukan simulasi perubahan ukuran grid pada metode kuadran terhadap nilai VMR serta perubahan pola titik spasial kelompok. Langkah yang ditempuh adalah membangun fungsi massa peluang yang merupakan pembangkit sebaran spasial kelompok, serta melakukan simulasi pada analisis kuadran dengan membagi wilayah menjadi beberapa grid. Hasil yang ditunjukkan Sebaran spasial kelompok mempunyai fungsi massa peluang binomial negative serta nilai VMR> 1. Apabila Banyaknya Grid bersifat terbatas maka peurubahan banyaknya grid tidak merubah kesimpulan bahwa VMR> 1 yang artinya sebaran fungsi massa peluang binomial negative akan mempunyai sebaran titik spasial bersifat kelompok. Nilai VMR merupakan fungsi eksponensial terhadap banyaknya grid, yakni VMR= 4, 976371 exp (-0, 003138* banyaknya grid.",Forum Statistika dan Komputasi,14,1,,2009,
"Wijayanto, Hari; Sumertajaya, I Made; Fitrianto, Anwar; Wahyuni, Sri; ",Statistical models for chili productivity,Applied Mathematical Sciences,8,2,69-79,2014,
"Aidi, Muhammad Nur; Sari, Resty Indah; ",Classification of debtor credit status and determination amount of credit risk by using linier discriminant function,AIP Conference Proceedings,1450,1,280-285,2012,AIP
"Rohman, Ahmad Nur; Aidi, Muhammad Nur; ",CLUSTERING PROVINCE IN INDONESIA BY COMMUNICATION TECHNOLOGY RELATED VARIABLES,Forum Statistika dan Komputasi,20,2,,2015,
"Angraini, Yenni; Toharudin, Toni; Folmer, Henk; Oud, Johan HL; ","The relationships between individualism, nationalism, ethnocentrism, and authoritarianism in Flanders: A continuous time-structural equation modeling approach",Multivariate behavioral research,49,1,41-53,2014,Taylor & Francis
"Sukmawati, Anggraini; Sumertajaya, I; ",Perancangan dan Evaluasi Balanced Scorecard sebagai Pengukuran Kinerja Usaha Kecil dan Menengah (UKM) di Bogor,,,,,2015,
"Indahwati, Indahwati; Dian, Kusumaningrum; Wiwid, Widiyani; ",APLIKASI REGRESI DUA LEVEL TERHADAP NILAI AKHIR METODE STATISTIKA,Seminar Nasional Matematika dan Pendidikan Matematika 2009,,,,2009,Jurusan Pendidikan Matematika FMIPA UNY
"IRAWAN, IRAWAN; REGAN, REGAN; INDAHWATI, INDAHWATI; ",ANALISIS DAN PERANCANGAN APLIKASI BEE-MESSENGER SEBAGAI MEDIA-MEDIA INSTANT MESSAGING DI BINUS,,,,,2009,BINUS
"Hadi, Alfian Futuhul; Sumertajaya, I Made; Tirta, I Made; ",AMMI PADA DATA BINOMIAL: MODEL BILINIER LOGIT,,,,,,
"Sumertajaya, I Made; SI, M; STATISTIKA, DEPARTEMEN; IPA, FAKULTAS MATEMATIKA DAN; ",Analisis statistik interaksi genotipe dengan lingkungan,Bogor: Departemen Statistika. Fakultas Matematika dan IPA. Institut Pertanian Bogor. Hlm,,,1-33,2007,
"Simanjuntak, Purnama MO; Sudarnika, Etih; Aidi, Muhammad Nur; ",Spatial Analysis of Avian Influenza on Poultry Sector IV in DIY 2009-2012,,,,,2013,
"Aidi, Muhammad Nur; ",Distribusi-compound dan generalized,,,,,2013,IPB (Bogor Agricultural University)
"Aidi, Muhammad Nur; Sumertajaya, I; ","Evaluating Acceleration Class Programe, Case study Acceleration Program in Junior High School (SMP) 252 Jakarta",,,,,2010,IPB (Bogor Agricultural University)
"Novianti, Pepi; Mattjik, Ahmad Ansori; Sumertajaya, I Made; ","Additive Main Effects Multiplicative Interaction (AMMI) is a widely known analysis used in understanding genotype and environment interaction (GEI) in plant breeding research. The interpretation of AMMI based on biplot visualizes the first two component of principle components analysis. Biplot of AMMI is only an exploration analysis and it does not provide the hypothesis testing, so it can conduct different interpretation by plant breeding researchers. The aim of this research is to find a systematic approach through bootstrap resampling method. Bootstrap resampling method in AMMI model produces confidence region of the first two interaction principle component (and) for genotype and environment respectively. Bootstrap confidence region of and estimated the stability of genotype, thus making AMMI analysis more precise and realiable for characterization and selection of genetic environment.",Forum Statistika dan Komputasi,15,1,,2010,
"Aidi, M; Syam, Hamdani M; ",Kebijakan Redaksi Surat Kabar Serambi Indonesia dalam Menentukan Headline News,Jurnal Ilmiah Mahasiswa Fakultas Ilmu Sosial & Ilmu Politik,2,3,,2017,
"AIDI, MUHAMMAD NUR; ",DISTRIBUSI-COMPOUND DAN GENERALIZED SPASIAL,,,,,,
"Indahwati, Indahwati; Utami Dyah, Syafitri; Renita Sukma, Mayasari; ",PENERAPAN METODE PEMULUSAN KERNEL PENERAPAN METODE PEMULUSAN KERNEL (Studi Kasus Pendugaan Pengeluaran Per Kapita di Kota Bogor Tahun 2005),PROSIDING SEMINAR NASIONAL MATEMATIKA DAN PENDIDIKAN MATEMATIKA,,,,2008,Jurusan Pendidikan Matematika Fakultas Matematika dan Ilmu Pengetahuan Alam Universitas Negeri Yogyakarta
"Aidi, Muhammad Nur; ",PERBANDINGAN ANALISIS JUMLAH KUADRAT ANTARA MODEL TETAP DAN MODEL ACAK PADA PERLAKUAN DUA FAKTOR,Jurnal Sains MIPA Universitas Lampung,7,2,,2012,
"Sukmawati, Anggraini; Sumertajaya, I; ",Pengaruh Pelatihan Penulisan Ilmiah Terhadap Kompetensi Dan Kinerja Peneliti Di Luar Jawa,,,,,2015,Bogor Agricultural University (IPB)
"Sumertajaya, I; Mattjik, Ahmad Ansori; Sunarlim, Bunawan; ",Pendekatan Model Regresi Linier Untuk Menerangkan Pengaruh Interaksi Pada Percobaan Lokasiganda,,,,,1998,IPB (Bogor Agricultural University)
"Abadi, Aman; Kurnia, Desi; Lestari, Dwi Nabillah; Rahayu, Lilis Puspita; Eminita, Viarti; Saumi, Tia Fitria; Purwaningsih, Tuti; Marlena, Leni; Irawan, Shiddig Ardhi; Rahmawati, Nurul; ",Asosiasi antara beberapa himpunan titik dalam ruang (studi kasus),,,,,2012,IPB
"Indahwati, Indahwati; Yenni, Angraeni; Tri Wuri, Sastuti; ",PEMODELAN REGRESI TIGA LEVEL PADA DATA PENGAMATAN BERULANG,Seminar Nasional Matematika dan Pendidikan Matematika 2009,,,,2009,Jurusan Pendidikan Matematika FMIPA UNY
"Andayani, Nurita; Sumertajaya, I Made; Ruchjana, Budi Nurani; Aidi, Muhammad Nur; ",Comparison ARIMA-X and VARMA-X Model to Space Time Data: A Case Study of Rice Price in Six Provinces on Java Island,International Journal of Applied Mathematics and Statistics™,55,3,145-153,2016,
"Sumertajaya, I; ",Indonesian Food Security Modeling using Path Modelling Partial Least Square (PLS-PM),,,,,2012,
"Sumertajaya, IM; Sumantri, B; ",Application of biplot and procrustes analysis to indentificating characteristic of yields from some rice varieties,Forum Statistika dan Komputasi (Indonesia),,,,1997,
"Mattjik, AA; Sumertajaya, IM; ",Rancangan percobaan,"Institut Pertanian Bogor, Bogor",,,,2000,
"Anggraini, Yenni; ",Penentuan Rancangan Optimum Pada CBC (Choice Based Conjoint),,,,,2006,Bogor: Sekolah Pascasarjana IPB Bogor
"Rahmawati, Titi; Aidi, Muhammad Nur; Hanum, Farida; ",Kelompok inti pada model transmisi penyakit seksual,Jurnal Matematika dan Aplikasinya,1,1,,2015,
"Sumertajaya, I; ",Perbandingan Nilai Tengah Nomor Somaklon Jahe (Zingiber officinale Rosc.) dengan Menggunakan Uji Lanjut Scott-Knott,,,,,2014,
"Sirait, Manuel Leonard; Sukmawati, Anggraini; Sumertajaya, I Made; ",PENGARUH ORGANISASI PEMBELAJAR DAN INOVASI TERHADAP PENINGKATAN KINERJA UKM DI KOTA BOGOR,Jurnal Manajemen,19,2,290-303,2015,
"Nugroho, Yogo Adhi; Wiendi, Ni Made Armini; Sumertajaya, I; Mathius, Nurita Toruan; ",Hubungan Parameter Agroklimat Lingkungan Tumbuh Ortet terhadap Kalogenesis In Vitro Kelapa Sawit dari Eksplan Daun,,,,,2012,Masyarakat Perkelapa-Sawitan Indonesia
"Suhaeni, Cici; Si, M; Sumertajaya, I Made; ",Circular Descriptive Statistic for Describing Students Sleeping Time,,,,,,
"Mattjik, Ahmad Ansori; Sumertajaya, I; Hadi, Alfian Futuhul; Wibawa, Gusti Ngurah Adhi; ",PEMODELAN AMMI: KINI DAN YANG AKAN DATANG (BUKU RISET 2011),,,,,,
"Mattjik, AA; Sumertajaya, I Made; ",Perancangan Percobaan. Jilid I,,,,,2000,"IPB Press, Bogor"
"Mattjik, Ahmad Ansori; Sumertajaya, I Made; ",Perancangan percobaan dengan aplikasi SAS dan Minitab,"Jilid I. Edisi ke-2. Institut Pertanian (IPB)-Press, Bogor",,,,2006,
"Pangesti, Riwi Dyah; Sumertajaya, I Made; Sukmawati, Anggraini; ",Partial Least Square Structural Equation Modeling (PLS-SEM) with Biner Data (Case Study: Knowledge Creation on Dairy Cooperative in Indonesia),,,,,,
"Yunianto, Widyawan Candra; Sumertajaya, I Made; ",SIMULTANEOUS EQUATIONS MODELLING USING 2SLS AND 3SLS METHODS FOR FISHERMEN TERM OF TRADE OF INDONESIA,"Proceeding of International Conference On Research, Implementation And Education Of Mathematics And Sciences 2015 (ICRIEMS 2015), Yogyakarta State University, 17-19 May 2015",,,,2015,Faculty of Mathematics and Sciences Yogyakarta State University
"Mattjik, Ahmad Ansori; Sumertajaya, I; Wibawa, Gusti Ngurah Adhi; Hadi, Alfian Futuhul; ",Sidik peubah ganda dengan menggunakan SAS,,,,,2011,
"Sukmawati, Anggraini; Sumertajaya, I Made; ",Perancangan Balance Scorecard untuk Mengembangkan Modal Insani dan Meningkatkan Kinerja pada Usaha Kecil dan Menengah (UKM),Jurnal Aplikasi Manajemen-Journal of Applied Management,13,3,446-456,2015,
"Bahtiar, Effendi Tri; Harahap, Idham Sakti; Rauf, Aunu; Sumertajaya, I Made; ","Termite Biodiversity and Intensity of Residential Houses Deterioration in Taman Darmaga Permai I, Ciampea, Bogor",,,,,,
"Aidi, Muhammad Nur; Sumertajaya, I Made; Yusuf, Lukman Maulana; ",Geographical Weighted Regression with Kernel Gaussian Weighted Function in Life Expectancy Rate (Case Study: Life Expectancy Rate of Regencies/Cities in East Java Province),International Journal of Statistics and Applications,4,3,144-152,2014,Scientific & Academic Publishing
"Aidi, Muhammad Nur; ",Perbandingan Deteksi Pola Sebaran Titik Spasial Secara Acak Dengan Metode Kuadran Dan Tetangga Terdekat,,,,,2009,Institut Teknoligi Sepuluh Nopember
"Indahwati, Indahwati; Kusman, Sadik; Ratih, Nurmasari; ",PENDEKATAN METODE PEMULUSAN KERNEL PADA PENDUGAAN AREA KECIL (SMALL AREA ESTIMATION),PROSIDING SEMINAR NASIONAL MATEMATIKA DAN PENDIDIKAN MATEMATIKA,,,,2008,Jurusan Pendidikan Matematika Fakultas Matematika dan Ilmu Pengetahuan Alam Universitas Negeri Yogyakarta
"Hadi, Alfian Futuhul; Sa’diyah, Halimatus; Sumertajaya, I; ",Penanganan Ketaknormalan Data Pada Model AMMI dengan Transformasi Box-Cox,,,,,2007,
"Safri, Muhammad; Aidi, Muhammad Nur; ",PENGELOMPOKAN KELAS KEKUATAN PADA BEBERAPA JENIS KAYU BERDASARKAN SIFAT MEKANIK DENGAN MENGGUNAKAN ANALISIS GEROMBOL,Jurnal Paradigma Ekonomika Vol,1,4,,2011,
"Wijaya, Ferdian Bangkit; Sumertajaya, I Made; ","Comparison of Autoregressive (AR), Vector Autoregressive (VAR), Space Time Autoregressive (STAR), and Generalized Space Time Autoregressive (GSTAR) in Forecasting (Case: Simulation study with Autoregressive pattern)",International Journal of Applied Engineering Research,10,21,42388-42395,2015,
"Mubarak, Fadhlul; Sumertajaya, I; Aidi, Muhammad Nur; ",The Best Spatial Weight Matrix Order of Radius for GSTARIMA,International Journal of Engineering and Management Research (IJEMR),7,2,494-497,2017,Vandana Publications
"Jaya, Eddy Santosa; Irawan, Irawan; Regan, Regan; Indahwati, Indahwati; ",Analisis dan Perancangan Aplikasi Bee-Messenger Sebagai Media-Media Instant Messanging di Universitas Bina Nusantara,"ComTech: Computer, Mathematics and Engineering Applications",1,2,1097-1105,2010,
"Sumertajaya, IM; ",Kajian pengaruh inter blok dan interaksi pada uji lokasi ganda dan respon ganda [Disertasi],"Bogor: Fakultas MIPA, IPB",,,,2005,
"Nugroho, Yogo Adhi; Sumertajaya, I Made; Wiendi, Ni Made Armini; Toruan-Mathius, Nurita; ",Estimation of genetic parameters for in vitro culture traits and selection best progenies for Tenera oil palm tissue culture,Energy Procedia,47,,316-322,2014,Elsevier
"Pongoh, Fernando; Sumertajaya, I Made; Aidi, Muhammad Nur; ",Geographichal Weighted Regression and Mix Geographichal Weighted Regression,International Journal of Statistics and Applications,5,1,1-4,2015,Scientific & Academic Publishing
"Priyanto, BH; Sumertajaya, IM; ",KEMIRIPAN WILAYAH DALAM MENGHASILKAN PRODUKSI BEBERAPA KOMODITAS PANGAN STRATEGIS,"Seminar Nasional Penelitian, Pendidikan, dan Penerapan MIPA 2009",,,,2009,
"Irene Muflikh, Nadhiroh; Khairil Anwar, Notodiputro; Indahwati, Indahwati; ",ZERO INFLATED NEGATIVE BINOMIAL MODELS IN SMALL AREA ESTIMATION,PROSIDING SEMINAR NASIONAL MATEMATIKA DAN PENDIDIKAN MATEMATIKA,,,,2008,Jurusan Pendidikan Matematika Fakultas Matematika dan Ilmu Pengetahuan Alam Universitas Negeri Yogyakarta
"Aidi, Muhammad Nur; Stat, Tuti Purwaningsih S; ",Modeling Spatial Ordinal Logistic Regression and The Principal Component to Predict Poverty Status of Districts in Java Island,International Journal of Statistics and Applications,3,1,1-8,2013,Scientific & Academic Publishing
"Angraini, Yenni; ",Pemodelan Data Longitudinal dengan Pendekatan Waktu Kontinu,,,,,,
"Setiawan, Andi; Aidi, Muhammad Nur; Sumertajaya, I Made; ",MODELLING OF FORECASTING MONTHLY INFLATION BY USING VARIMA AND GSTARIMA MODELS,Forum Statistika dan Komputasi,20,2,,2015,
"Mattjik, Ahmad Anshori; Sumertajaya, I Made; Silvianti, Pika; ",KLASIFIKASI GENOTIPE PADA DATA TIDAK LENGKAP DENGAN PENDEKATAN MODEL AMMI,Forum Statistika dan Komputasi,12,1,,2012,
"Andayani, Nurita; Sumertajaya, I Made; Ruchjana, Budi Nurani; Aidi, Muhammad Nur; ",RICE PRICE MODELING IN SIX PROVINCE OF JAVA ISLAND USING VARMAX MODEL,"Proceeding of International Conference On Research, Implementation And Education Of Mathematics And Sciences 2015 (ICRIEMS 2015), Yogyakarta State University, 17-19 May 2015",,,,2015,Faculty of Mathematics and Sciences Yogyakarta State University
"Rahmi HG, Izzati; Susetyo, Budi; Indahwati, Indahwati; ",METODE POHON REGRESI PIECEWISE LINEAR DENGAN MENGGUNAKAN ALGORITMA GUIDE,STATISTIKA: Forum Teori dan Aplikasi Statistika,3,1,,2012,
"HG, Izzati Rahmi; Susetyo, Budi; Indahwati, Indahwati; ",METODE POHON REGRESI PIECEWISE LINEAR DENGAN MENGGUNAKAN ALGORITMA GUIDE,STATISTIKA: Journal of Theoretical Statistics and Its Applications,3,1,105-111,2014,
"Santoso, Aji; Wijayanto, Hari; Sulvianti, Itasia Dina; ",Penggunaan Analisis Diskrirlinan Metode MDP (Minimum Distance Probability) pada Data Biner (Studi Kasus pada Data Pemilikan Barang),,,,,1997,IPB (Bogor Agricultural University)
"Silvianti, Pika; Sulvianti, Itasia Dina; ",Penerapan Analisis Regresi Sirkular pada Pemodelan Data Iklim.,,,,,2017,IPB (Bogor Agricultural University)
"Sulvianti, Itasia Dina; ",Penggunaan Metode Kemungkinan Maksimum untuk Pendugaan Garis Allometri (Suatu AIteruatif Peudekatan Statistika dalam Analisa Kuantitatif Fenomena Biologi),,,,,1996,IPB (Bogor Agricultural University)
"Sulvianti, Itasia Dina; Rahman, La Ode Abdul; ",Analisis Kepuasan Pelanggan Terhadap Pelayanan Jasa Kesehatan (Studi Kasus: Rumah Sakit Citra Medika Depok).,,,,,2016,Bogor Agricultral University (IPB)
"Silvianti, Pika; ",Klasifikasi Genotipe Pada Data Tidak Lengkap Dengan Pendekatan Model Ammi,,,,,2005,IPB (Bogor Agricultural University)
"Silvianti, Pika; ",Analisis Tingkat Pengangguran Terbuka Provinsi Banten dengan Penggerombolan Berhirarki dan Regresi Data Panel,,,,,2016,Bogor Agricultural University (IPB)
"Silvianti, Pika; ",Pendekatan bayes untuk pendugaan pengaruh interaksi dalam model AMMI,,,,,2009,IPB (Bogor Agricultural University)
"Suhaeni, Cici; ",Bootstrap Confidence Interval Estimation of Preferred Direction for Circular Data,,,,,2012,
"Anisa, Rahma; ",Study on the Effects of Cluster Information in Prediction of Non-sampled Area (A Case Study of per Capita Expenditures at Subdistrict Level in Regency and Municipality of Bogor).,,,,,2014,
"Rizki, Akbar; ",Pemodelan Semiparametrik Statistical Downscaling untuk Prediksi Curah Hujan di Kabupaten Indramayu,,,,,2014,
"Martono, Totong; ",Contribution à la conception et au développement d'un logiciel d'enseignement et d'analyse statistique,,,,,1984,
"Martono, Totong; Martono, Totong; Delcamp, Alain; ",Logiciel d'Enseignement et d'Analyses Statistiques,,,,,,
"Wijayanto, Hari; Sumarwan, Ujang; ",Analysis of the Factors Influencing Bogor Senior High School Student Choice in Choosing Bogor Agricultural University (Indonesia) For Further Study,Journal of Education and e-Learning Research,3,3,87-97,2016,ERIC
"Zaraswati, Cut; Sumarwan, Ujang; Wijayanto, Hari; ",MARKETING STRATEGY OF COMMERCIAL HEALTH INSURANCE COMPANY,Indonesian Journal of Business and Entrepreneurship (IJBE),3,1,1,2017,
